UBI	EAN	Lote	Caducidad	Piezas
3-3-4	7501125199516	G061421	6.2013	50
3-3-4	7501125199516	G071430	7.2013	2
3-3-4	7501125199516	G081439	8.2013	6
3-3-4	7501471887969	BL8079	2.2013	20
3-3-4	7501471887969	FL8376	6.2013	32
3-3-4	7501567700431	2MAY11	5.2013	60
3-3-6	7501098610285	1559	9.2013	10
3-3-6	7501125196935	C052296	5.2016	50
3-3-6	7501125196935	C111925	11.2015	25
3-3-6	7501125196935	C121981	12.2015	5
3-3-6	7501125197871	C012062	1.2014	15
3-3-6	7501125197871	C032148	3.2014	18
3-3-6	7501125197871	C032198	3.2014	53
3-3-6	7501125198021	C061689	6.2015	480
3-3-6	7501125198021	C081794	8.2015	385
3-3-6	7501125199509	C022094	2.2014	50
3-3-6	7501125199509	C061637	6.2013	295
3-3-6	7501125199509	C061665	6.2013	105
3-3-6	7501125199509	C071705	7.2013	50
3-3-6	7501125199509	C081783	8.2013	40
3-3-6	7501125199509	C101872	10.2013	410
3-3-6	7501471886627	JK0324	11.2013	85
3-3-6	7501471886627	KL2173	11.2014	5
3-3-6	7501471886634	GK0219	7.2013	5
3-3-7	7501037980219	255854	9.2015	1
3-3-7	7501082212075	A786207J	9.2013	2
3-3-7	7501122967705	18822	5.2014	33
3-3-7	7501122967705	21154	11.2014	1
3-3-7	7501122967705	21513	3.2015	2
3-3-7	7501125102042	C021470	2.2013	1
3-3-7	7501125102042	C071726	7.2013	57
3-3-7	7501125102042	C081807	8.2013	20
3-3-7	7501125102226	B051962	5.2013	115
3-3-7	7501125102226	B051966	25.2013	18
3-3-7	7501125102226	B061027	6.2013	25
3-3-7	7501125107108	1012034	1.2014	17
